,capital_calls,distributions,netCashProvidedByOperatingActivities,retainedEarnings,longTermDebt,shortTermDebt
capital_calls,1.0,-0.6491285239888022,-0.6944992795487054,0.6493224467239843,0.47444272641866914,0.2784220154883001
distributions,-0.6491285239888022,1.0,0.9840985577750648,-0.6221340121093393,-0.8463536215878402,-0.2532708122799931
netCashProvidedByOperatingActivities,-0.6944992795487054,0.9840985577750648,1.0,-0.7513043604237915,-0.9102269693836783,-0.4104182566959489
retainedEarnings,0.6493224467239843,-0.6221340121093393,-0.7513043604237915,1.0,0.867400110743254,0.8679792107073596
longTermDebt,0.47444272641866914,-0.8463536215878402,-0.9102269693836783,0.867400110743254,1.0,0.6770872764974573
shortTermDebt,0.2784220154883001,-0.2532708122799931,-0.4104182566959489,0.8679792107073596,0.6770872764974573,1.0
