,Volatility_30,cash_and_cash_equivalents,net_debt,total_assets,total_liabilities_net_minority_interest,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,investments_in_property_plant_and_equipment,purchase_of_investment,sale_of_investment,10Y Treasury Yield,CPI,BAA Corporate Bond Spread
2020-01-01,0.010216900977359531,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.92,259.127,1.98
2020-01-02,0.010216900977359531,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.88,259.127,1.98
2020-01-03,0.010244625066525574,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99
2020-01-04,0.010244625066525574,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99
2020-01-05,0.010244625066525574,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99
2020-01-06,0.010179163070132521,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.81,259.127,2.02
2020-01-07,0.010058932805964902,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,2.03
2020-01-08,0.01070971399078847,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.87,259.127,2.05
2020-01-09,0.010556669731954344,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.85,259.127,2.03
2020-01-10,0.01054053386247197,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99
2020-01-11,0.01054053386247197,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99
2020-01-12,0.01054053386247197,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99
2020-01-13,0.010518497728484167,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.85,259.127,1.99
2020-01-14,0.011268257769862212,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.82,259.127,1.99
2020-01-15,0.010905755379707614,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.79,259.127,2.01
2020-01-16,0.011332385768469105,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.81,259.127,2.0
2020-01-17,0.01165042556255051,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98
2020-01-18,0.01165042556255051,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98
2020-01-19,0.01165042556255051,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98
2020-01-20,0.01165042556255051,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98
2020-01-21,0.011909927622833822,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.78,259.127,1.97
2020-01-22,0.012615371679336181,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.77,259.127,1.97
2020-01-23,0.012730520899404256,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.74,259.127,1.98
2020-01-24,0.013177813714046482,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98
2020-01-25,0.013177813714046482,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98
2020-01-26,0.013177813714046482,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98
2020-01-27,0.013429516089955334,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.61,259.127,2.04
2020-01-28,0.013428439393822994,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.65,259.127,2.04
2020-01-29,0.013782463170195677,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.6,259.127,2.05
2020-01-30,0.014232831644892622,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.57,259.127,2.08
2020-01-31,0.016737030726276535,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.51,259.127,2.13
2020-02-01,0.016737030726276535,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.51,259.25,2.13
2020-02-02,0.016737030726276535,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.51,259.25,2.13
2020-02-03,0.016772293088160375,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.54,259.25,2.1
2020-02-04,0.017216274794225165,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.61,259.25,2.09
2020-02-05,0.01732444215162717,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.66,259.25,2.07
2020-02-06,0.01683913636129089,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.65,259.25,2.05
2020-02-07,0.01695201431528241,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.05
2020-02-08,0.01695201431528241,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.05
2020-02-09,0.01695201431528241,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.05
2020-02-10,0.016941449360020008,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.56,259.25,2.06
2020-02-11,0.01686501172605171,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.05
2020-02-12,0.017132590212424643,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.62,259.25,2.06
2020-02-13,0.017132164043055235,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.61,259.25,2.05
2020-02-14,0.01714324370994485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.04
2020-02-15,0.01714324370994485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.04
2020-02-16,0.01714324370994485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.04
2020-02-17,0.01714324370994485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.59,259.25,2.04
2020-02-18,0.01687245558762867,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.55,259.25,2.05
2020-02-19,0.0168841329046812,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.56,259.25,2.05
2020-02-20,0.017011319315609813,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.52,259.25,2.05
2020-02-21,0.017253082381099294,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.46,259.25,2.09
2020-02-22,0.017253082381099294,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.46,259.25,2.09
2020-02-23,0.017253082381099294,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.46,259.25,2.09
2020-02-24,0.019360793443199718,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.38,259.25,2.13
2020-02-25,0.02122807378324447,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.33,259.25,2.19
2020-02-26,0.021229990177730147,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.33,259.25,2.2
2020-02-27,0.02228704415735915,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.3,259.25,2.27
2020-02-28,0.022282223999298842,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.13,259.25,2.38
2020-02-29,0.022282223999298842,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.13,259.25,2.38
2020-03-01,0.022282223999298842,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.13,258.076,2.38
2020-03-02,0.02324746166956087,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.1,258.076,2.44
2020-03-03,0.023643517389686307,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.02,258.076,2.48
2020-03-04,0.023741327958168575,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.02,258.076,2.47
2020-03-05,0.02436852862692812,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.92,258.076,2.52
2020-03-06,0.025463343514046465,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.74,258.076,2.55
2020-03-07,0.025463343514046465,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.74,258.076,2.55
2020-03-08,0.025463343514046465,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.74,258.076,2.55
2020-03-09,0.03246647183321939,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.54,258.076,2.93
2020-03-10,0.03511159769941671,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.76,258.076,2.93
2020-03-11,0.036049228050797785,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.82,258.076,2.99
2020-03-12,0.0385216713937519,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.88,258.076,3.2
2020-03-13,0.04846314148556274,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.94,258.076,3.3
2020-03-14,0.04846314148556274,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.94,258.076,3.3
2020-03-15,0.04846314148556274,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.94,258.076,3.3
2020-03-16,0.05299172375738582,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.73,258.076,3.38
2020-03-17,0.052983384009900644,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.02,258.076,3.49
2020-03-18,0.05486977095765831,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.18,258.076,3.81
2020-03-19,0.056043785992480395,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.12,258.076,4.01
2020-03-20,0.05677988929332884,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.92,258.076,4.23
2020-03-21,0.05677988929332884,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.92,258.076,4.23
2020-03-22,0.05677988929332884,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.92,258.076,4.23
2020-03-23,0.05679523291927153,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.76,258.076,4.31
2020-03-24,0.06726890124158175,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.84,258.076,4.19
2020-03-25,0.07020168110614701,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.88,258.076,4.13
2020-03-26,0.07153859470725782,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.83,258.076,4.04
2020-03-27,0.07177638547336228,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.72,258.076,3.98
2020-03-28,0.07177638547336228,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.72,258.076,3.98
2020-03-29,0.07177638547336228,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.72,258.076,3.98
2020-03-30,0.07176724066968888,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.7,258.076,3.89
2020-03-31,0.0720248508691373,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.7,258.076,3.93
2020-04-01,0.07264598130703273,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.62,256.032,3.97
2020-04-02,0.07268413335307064,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,256.032,3.92
2020-04-03,0.07280036875337323,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.62,256.032,3.92
2020-04-04,0.07280036875337323,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.62,256.032,3.92
2020-04-05,0.07280036875337323,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.62,256.032,3.92
2020-04-06,0.07504693344050165,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.67,256.032,3.91
2020-04-07,0.07468076557954381,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.75,256.032,3.79
2020-04-08,0.07485928536495075,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.77,256.032,3.75
2020-04-09,0.07465466215943485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.73,256.032,3.61
2020-04-10,0.07465466215943485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.73,256.032,3.61
2020-04-11,0.07465466215943485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.73,256.032,3.61
2020-04-12,0.07465466215943485,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.73,256.032,3.61
2020-04-13,0.07524173421552971,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.76,256.032,3.41
2020-04-14,0.07465883606627376,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.76,256.032,3.36
2020-04-15,0.07473833664048328,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,256.032,3.33
2020-04-16,0.07463430552616614,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.61,256.032,3.28
2020-04-17,0.07464585093850679,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.65,256.032,3.27
2020-04-18,0.07464585093850679,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.65,256.032,3.27
2020-04-19,0.07464585093850679,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.65,256.032,3.27
2020-04-20,0.07458311846785076,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,256.032,3.28
2020-04-21,0.07207182243606838,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.58,256.032,3.29
2020-04-22,0.07105049426919423,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,256.032,3.3
2020-04-23,0.07087042011268593,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.61,256.032,3.26
2020-04-24,0.06897316180318953,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.6,256.032,3.25
2020-04-25,0.06897316180318953,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.6,256.032,3.25
2020-04-26,0.06897316180318953,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.6,256.032,3.25
2020-04-27,0.0640385929082445,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.67,256.032,3.24
2020-04-28,0.05850983788157156,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.62,256.032,3.25
2020-04-29,0.058794608821481235,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,256.032,3.24
2020-04-30,0.05621623623275172,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.64,256.032,3.23
2020-05-01,0.05610301945629976,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.64,255.802,3.25
2020-05-02,0.05610301945629976,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.64,255.802,3.25
2020-05-03,0.05610301945629976,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.64,255.802,3.25
2020-05-04,0.054021391929575995,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.64,255.802,3.28
2020-05-05,0.053511267280417704,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.66,255.802,3.28
2020-05-06,0.043937995497652864,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.72,255.802,3.31
2020-05-07,0.04070313403323535,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,0.63,255.802,3.34
